time_ratio|free_energy(kcal/mol)|Rolling_STD(kcal/mol)
0.01|2.039742550036523|0.23023910915405302
0.02|1.4867375155200289|0.23023910915405302
0.03|1.2038251945099203|0.23023910915405302
0.04|1.029821340860723|0.23023910915405302
0.05|0.9395096292023828|0.23023910915405302
0.06|0.8673246549748892|0.23023910915405302
0.07|0.8286389303222322|0.23023910915405302
0.08|0.8094774755714308|0.23023910915405302
0.09|0.8026805727011992|0.23023910915405302
0.1|0.7890588950692096|0.23023910915405302
0.11|0.7788044529610973|0.23023910915405302
0.12|0.7655604935349154|0.13991526841053809
0.13|0.7597646477363186|0.08651719871246766
0.14|0.7484036786463069|0.05788183618171548
0.15|0.7346535974941901|0.040026339294661
0.16|0.7244584831596637|0.03374382317480808
0.17|0.7201143622442454|0.03165944740626141
0.18|0.7133394909491676|0.030659199647656538
0.19|0.7081520729989766|0.028360344305436387
0.2|0.6997216076698559|0.02669210458066661
0.21|0.6930035063149704|0.024881779302073633
0.22|0.6888207872647195|0.02335799638350513
0.23|0.6828992960953828|0.02099652038779462
0.24|0.6823931786735656|0.0182524019695007
0.25|0.6776436011154033|0.016714970751376564
0.26|0.6701796325608235|0.016358156386774375
0.27|0.6665325538321308|0.015469341551228038
0.28|0.6649843096941079|0.014273084083534332
0.29|0.6614817742403054|0.012851742318336305
0.3|0.6556843080643721|0.012410597349762508
0.31|0.6518959340225515|0.012357929024065807
0.32|0.6496553439670893|0.012020624168662328
0.33|0.6488088273945803|0.011628666696549033
0.34|0.6474248596181079|0.010306768134916993
0.35|0.6434950344946618|0.009198913848088349
0.36|0.6402888388716187|0.008937220216706843
0.37|0.6378226168353387|0.008724854578792511
0.38|0.6359307726258958|0.008048946308121543
0.39|0.6339284360462372|0.007318222573057718
0.4|0.6305643518626128|0.007361257866773427
0.41|0.6281954554377944|0.007625111184632322
0.42|0.6272366327300329|0.007639644311678095
0.43|0.626820299638653|0.00712865111719344
0.44|0.6264654513953585|0.006137747475247371
0.45|0.6284442620127749|0.005047058386639951
0.46|0.6300240684239019|0.004015033823405661
0.47|0.6326401996722533|0.0032284599440682744
0.48|0.6337761414257912|0.0028389203814386606
0.49|0.6335691429344422|0.0027827167687764953
0.5|0.6345208126018581|0.003162927441105067
0.51|0.6341503765905512|0.003307305474424045
0.52|0.6334291177005104|0.0031492701393489937
0.53|0.6343115863838826|0.0028164748695223424
0.54|0.6333691192143843|0.0020008885898569694
0.55|0.6331743626020296|0.0012797636109180563
0.56|0.6335212075734483|0.0005636085740304682
0.57|0.6329776961680935|0.0005035824378851002
0.58|0.6336665016152497|0.0005024478758267319
0.59|0.6336729421584227|0.0005012266155269523
0.6|0.6351311083647909|0.0006345009287451744
0.61|0.636051821706709|0.000968180195535746
0.62|0.6353515918846593|0.0010453444432988056
0.63|0.6368659940849603|0.0013610335332346886
0.64|0.6375986533730391|0.001640988805237572
0.65|0.6369043730045313|0.0016539893593416181
0.66|0.6381399990374407|0.0017811196663045001
0.67|0.6387228652436253|0.0017547447880588072
0.68|0.6393629166243654|0.0017616937212496316
0.69|0.6393360833812101|0.0015492705784682817
0.7|0.6406312741801182|0.0016485112966223856
0.71|0.639779855015432|0.0016059695394208449
0.72|0.6389377662272705|0.0012409481474120701
0.73|0.6394628055012392|0.0010943073577259536
0.74|0.6400791846326007|0.0010498926317829749
0.75|0.6398708979306905|0.0007150809418871003
0.76|0.6410317442564345|0.0007190775921689939
0.77|0.6422921989967447|0.0009994765473609491
0.78|0.6432072766923024|0.0013658560199625136
0.79|0.6436712906675545|0.001630768104495231
0.8|0.6438965067133048|0.0018796756125516333
0.81|0.6446139848160215|0.0020784158182469837
0.82|0.6458217015754357|0.0021962164773985464
0.83|0.646609678376514|0.0022966573206109706
0.84|0.6465692442681032|0.00226193968588423
0.85|0.6486270536908894|0.002284501214173122
0.86|0.6552717454031866|0.003754644426737547
0.87|0.661822372152007|0.0059913357623366
0.88|0.6686952945195795|0.008582028766026803
0.89|0.6753647829294862|0.011206363783825592
0.9|0.6821883135739069|0.013730960770497203
0.91|0.6890831299676821|0.016073968802583972
0.92|0.6962349220036576|0.018199383237498527
0.93|0.7028937022530588|0.019808835706829633
0.94|0.7098959015910061|0.020640739452880304
0.95|0.7169073971441731|0.020767338115227924
0.96|0.723601244551388|0.020834592780314066
0.97|0.7304278008222438|0.0208441431771677
0.98|0.736471630963203|0.02072290308352402
0.99|0.7428030425346391|0.020506672856197276
1.0|0.7490920782884842|0.020230873605619686
