time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.01,0.01,2.039742550036523,0.014044764307460336,0.23023910915405302
0.02,0.02,1.4867375155200289,0.017430371401749245,0.23023910915405302
0.03,0.03,1.2038251945099203,0.01760766356404752,0.23023910915405302
0.04,0.04,1.029821340860723,0.0175190601844754,0.23023910915405302
0.05,0.05,0.9395096292023828,0.0160831711407867,0.23023910915405302
0.06,0.06,0.8673246549748892,0.014666850279302035,0.23023910915405302
0.07,0.07,0.8286389303222322,0.01347409130814907,0.23023910915405302
0.08,0.08,0.8094774755714308,0.012458795936925565,0.23023910915405302
0.09,0.09,0.8026805727011992,0.01192191045732529,0.23023910915405302
0.1,0.1,0.7890588950692096,0.011220038894459192,0.23023910915405302
0.11,0.11,0.7788044529610973,0.010648309458856869,0.23023910915405302
0.12,0.12,0.7655604935349154,0.010123250187802779,0.13991526841053809
0.13,0.13,0.7597646477363186,0.00966883766143817,0.08651719871246766
0.14,0.14,0.7484036786463069,0.009210785430443253,0.05788183618171548
0.15,0.15,0.7346535974941901,0.008812564771828702,0.040026339294661
0.16,0.16,0.7244584831596637,0.008396263361280248,0.03374382317480808
0.17,0.17,0.7201143622442454,0.008084980289263301,0.03165944740626141
0.18,0.18,0.7133394909491676,0.007824253754902208,0.030659199647656538
0.19,0.19,0.7081520729989766,0.007568921390886126,0.028360344305436387
0.2,0.2,0.6997216076698559,0.007287688244042769,0.02669210458066661
0.21,0.21,0.6605635180551257,0.0067410236126938155,0.03110267458284417
0.22,0.22,0.6367352409436593,0.006451233669486708,0.037710777659815696
0.23,0.23,0.6252976205310694,0.006318151309819104,0.041962431376664985
0.24,0.24,0.6268068912736336,0.006336195059473911,0.04306168598983502
0.25,0.25,0.622564814013692,0.0063247013991065025,0.04328399782665575
0.26,0.26,0.6190359349570077,0.006308476330449829,0.04239730744283191
0.27,0.27,0.6162799502707358,0.006300983217225854,0.03953726563766889
0.28,0.28,0.6129840455385783,0.006317652236318916,0.03494741329558061
0.29,0.29,0.604286116843732,0.006174636061673337,0.02814338448714661
0.3,0.3,0.5951302816795293,0.0061019679184673836,0.017941625453399394
0.31,0.31,0.5882953255897149,0.006010413707814287,0.014978306308605737
0.32,0.32,0.5859243915794965,0.0059755013614644255,0.015303181256443855
0.33,0.33,0.5824057597948802,0.005960230035536604,0.016404672627179994
0.34,0.34,0.5819321565503858,0.0059480824505191016,0.016022757557961745
0.35,0.35,0.5798310364341754,0.005945003164100862,0.01527925386339053
0.36,0.36,0.5772639103048025,0.005950917207082383,0.014134278964835786
0.37,0.37,0.5722256509741174,0.005909702089545636,0.012664949770265395
0.38,0.38,0.570481237334521,0.005890061187843894,0.010263382125888324
0.39,0.39,0.5675656380253061,0.005875403443723788,0.008533731952238884
0.4,0.4,0.5652173099306979,0.005884829527952574,0.007901189103722084
0.41,0.41,0.5636378652265076,0.005894734818899757,0.00787158145658316
0.42,0.42,0.5627278601023126,0.005932519475689914,0.007592422872240449
0.43,0.43,0.5651441324336679,0.00598884163900471,0.0069847721920957215
0.44,0.44,0.5622685513250681,0.0059625836397308,0.006160071224738212
0.45,0.45,0.5693553732875092,0.006057760542274666,0.004781209640376048
0.46,0.46,0.5796876252640684,0.006137184483409994,0.005353361279585217
0.47,0.47,0.5882778076552326,0.006267833708859783,0.008372667915004281
0.48,0.48,0.5914529304309215,0.006235538843441263,0.010906528943260267
0.49,0.49,0.5942569687182897,0.0062604489474351556,0.012909687364923435
0.5,0.5,0.6035466836894758,0.006355145079656806,0.015396113211572532
0.51,0.51,0.6072114694049623,0.006436278687501243,0.016955612536016504
0.52,0.52,0.6079586347703035,0.006451236836063036,0.017158548991141786
0.53,0.53,0.6108358799514008,0.006458664835847397,0.01679653891091636
0.54,0.54,0.6098352273360369,0.006534859273151665,0.014126280746349631
0.55,0.55,0.6153375480686645,0.006601304926535299,0.011672819140412015
0.56,0.56,0.6214479611105468,0.006683058756083177,0.010693499708065895
0.57,0.57,0.6242513019804468,0.006681960070800205,0.010485815602686438
0.58,0.58,0.6293915724325443,0.006729487297812736,0.01045032186490213
0.59,0.59,0.6331770126816179,0.006768482892214098,0.010183595602183357
0.6,0.6,0.6442777557904923,0.0069269041525813375,0.012416883410582046
0.61,0.61,0.6522261041414185,0.006988677514612248,0.015005274292123326
0.62,0.62,0.6524607651059513,0.006975403089702952,0.015997532076453616
0.63,0.63,0.6585924700050683,0.0070296903906233365,0.01696415199890034
0.64,0.64,0.662283719164918,0.0070802553315295735,0.016734941529762216
0.65,0.65,0.6560291402463522,0.0070011406461245,0.015117971176630945
0.66,0.66,0.6568947147989077,0.007010117174539451,0.013460099976876968
0.67,0.67,0.6530433138534149,0.006952512506756885,0.010898936238501416
0.68,0.68,0.6528401289430029,0.007031965154005331,0.00819939219908206
0.69,0.69,0.6534174843051525,0.0070498976528685685,0.00476583624300614
0.7,0.7,0.6560192721043984,0.007081554702155766,0.0032546926126305075
0.71,0.71,0.6542233108360889,0.007051148823389713,0.00309706603466267
0.72,0.72,0.6533478516105999,0.007038161798656504,0.003009240652448861
0.73,0.73,0.653214883807344,0.007072789644156379,0.0029075656457564674
0.74,0.74,0.6583437448790024,0.0071066566629969,0.001934954785802721
0.75,0.75,0.6583856203329557,0.0070354877739624904,0.002230648684216702
0.76,0.76,0.6621893319102032,0.0070684811248828625,0.0031686127135671194
0.77,0.77,0.6691258533225851,0.0071739623836820955,0.005207307846914558
0.78,0.78,0.6711319379533215,0.007156852418391589,0.006573862727993089
0.79,0.79,0.6734279990478396,0.007149649279969624,0.007661634178209452
0.8,0.8,0.6702843265822883,0.007026491526764743,0.007965421567890547
0.81,0.81,0.6708166878655075,0.00702563243107295,0.007807111236920901
0.82,0.82,0.6784101132009963,0.0070420203642424795,0.008017936473304666
0.83,0.83,0.6774223492880442,0.007047420933847375,0.00715843638012575
0.84,0.84,0.6753090503268941,0.006976778523568686,0.006326512130876608
0.85,0.85,0.6870176047273798,0.007159529219791567,0.006630807728485686
