times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
0.0|0.0|0.0|0.0|-126811.29097848773|-126808.94506216663
0.2|0.0|0.0|0.0|-126521.14119280211|-126519.09797536116
0.4|0.0|0.0|0.0|-126212.5775218583|-126212.17392335142
0.6|0.0|0.0|0.0|-126460.42484242715|-126455.21589919805
0.8|0.0|0.0|0.0|-126501.49099049962|-126500.86036783266
1.0|0.0|0.0|0.0|-126116.24360325337|-126115.95351682657
1.2|0.0|0.0|0.0|-126014.83947840612|-126014.03228139241
1.4|0.0|0.0|0.0|-126287.38707206317|-126286.64293731615
1.6|0.0|0.0|0.0|-126247.94647729174|-126246.45820779771
1.8|0.0|0.0|0.0|-126063.31277285902|-126059.93263536411
2.0|0.0|0.0|0.0|-126205.00964411249|-126202.8529145915
2.2|0.0|0.0|0.0|-126004.48424847236|-126003.75272617869
2.4|0.0|0.0|0.0|-126364.20403016002|-126363.82565655986
2.6|0.0|0.0|0.0|-126283.58847399015|-126281.67138108259
2.8|0.0|0.0|0.0|-126154.5478173964|-126153.18567243575
3.0|0.0|0.0|0.0|-126164.4763050284|-126163.90874462813
3.2|0.0|0.0|0.0|-126270.67142382124|-126268.80478072703
3.4|0.0|0.0|0.0|-126287.52154977167|-126285.26392062395
3.6|0.0|0.0|0.0|-126336.14255739433|-126336.10472003432
3.8|0.0|0.0|0.0|-126416.61744720754|-126415.78502528716
4.0|0.0|0.0|0.0|-126502.88710191101|-126501.65108148377
4.2|0.0|0.0|0.0|-126331.83160916976|-126327.58121239446
4.4|0.0|0.0|0.0|-126446.42756570755|-126445.56991888049
4.6|0.0|0.0|0.0|-126493.53980844512|-126493.17404729828
4.8|0.0|0.0|0.0|-126258.76902178343|-126258.51677271664
5.0|0.0|0.0|0.0|-126309.44585930038|-126309.00442343352
5.2|0.0|0.0|0.0|-126280.32013089859|-126279.75257049831
5.4|0.0|0.0|0.0|-126313.95754395425|-126312.99899750049
5.6|0.0|0.0|0.0|-126506.50646829714|-126503.95875272264
5.8|0.0|0.0|0.0|-126482.38649413844|-126480.2171521641
6.0|0.0|0.0|0.0|-126380.78057003775|-126379.92292321069
6.2|0.0|0.0|0.0|-126234.17341242275|-126231.63830930158
6.4|0.0|0.0|0.0|-126479.05282509848|-126478.09427864468
6.6|0.0|0.0|0.0|-126565.0066946052|-126563.92202361804
6.8|0.0|0.0|0.0|-126412.15637258728|-126411.19782613352
7.0|0.0|0.0|0.0|-126511.00610497197|-126509.5682852913
7.2|0.0|0.0|0.0|-126403.48282582047|-126402.70085371342
7.4|0.0|0.0|0.0|-126443.07331685226|-126442.1273828518
7.6|0.0|0.0|0.0|-126341.25298104479|-126339.63858701737
7.8|0.0|0.0|0.0|-126849.35712104099|-126848.12110061375
8.0|0.0|0.0|0.0|-126564.94530249992|-126564.69305343313
8.2|0.0|0.0|0.0|-126600.43131027496|-126598.58989208743
8.4|0.0|0.0|0.0|-126538.62205913894|-126537.97882401863
8.6|0.0|0.0|0.0|-126537.88026973644|-126537.4766712296
8.8|0.0|0.0|0.0|-126375.0539925079|-126372.78375090683
9.0|0.0|0.0|0.0|-126645.3388675672|-126644.92265660701
9.2|0.0|0.0|0.0|-126575.29709516582|-126571.86650785756
9.4|0.0|0.0|0.0|-126556.69848507343|-126554.94535405927
9.6|0.0|0.0|0.0|-126520.83554868314|-126520.06618902943
9.8|0.0|0.0|0.0|-126179.99660964427|-126179.31553716394
10.0|0.0|0.0|0.0|-126253.34753717697|-126252.79258923006
10.2|0.0|0.0|0.0|-126193.26587550559|-126191.63886902483
10.4|0.0|0.0|0.0|-126399.46276618056|-126398.26458311334
10.6|0.0|0.0|0.0|-126471.47035031438|-126471.34422578098
10.8|0.0|0.0|0.0|-126504.26648964055|-126503.13136884001
11.0|0.0|0.0|0.0|-126406.02969739934|-126405.8909604126
11.2|0.0|0.0|0.0|-126566.68471961915|-126563.40548175095
11.4|0.0|0.0|0.0|-126595.09337692402|-126595.04292711067
11.6|0.0|0.0|0.0|-126491.50729764908|-126490.32172703519
11.8|0.0|0.0|0.0|-126661.04667623015|-126660.1638044964
12.0|0.0|0.0|0.0|-126483.5339398395|-126483.02944170593
12.2|0.0|0.0|0.0|-126459.44415396161|-126458.99010564141
12.4|0.0|0.0|0.0|-126401.4528739137|-126399.0438953259
12.6|0.0|0.0|0.0|-126325.6476921318|-126323.54141242415
12.8|0.0|0.0|0.0|-126700.7546668933|-126697.75290299857
13.0|0.0|0.0|0.0|-126358.8172424144|-126356.78663742678
13.2|0.0|0.0|0.0|-126442.64490371615|-126441.33320856887
13.4|0.0|0.0|0.0|-126608.37946851247|-126606.96687373848
13.6|0.0|0.0|0.0|-126382.10327350345|-126380.38797984931
13.8|0.0|0.0|0.0|-126241.22216970446|-126240.89424591763
14.0|0.0|0.0|0.0|-126312.43208125763|-126312.17983219086
14.2|0.0|0.0|0.0|-126449.16144523483|-126448.01371198097
14.4|0.0|0.0|0.0|-126545.52868171522|-126544.88544659493
14.6|0.0|0.0|0.0|-126477.62125176427|-126475.90595811015
14.8|0.0|0.0|0.0|-126567.77766442727|-126566.46596927999
15.0|0.0|0.0|0.0|-126302.17356284164|-126301.44204054796
15.2|0.0|0.0|0.0|-126410.63678561908|-126409.51427727188
15.4|0.0|0.0|0.0|-126636.8285238045|-126635.56727847058
15.6|0.0|0.0|0.0|-126355.71011715247|-126355.04165712549
15.8|0.0|0.0|0.0|-126416.50918577534|-126415.1470408147
16.0|0.0|0.0|0.0|-126459.42721838305|-126457.87588662232
16.2|0.0|0.0|0.0|-126606.74459236396|-126605.34461004332
16.4|0.0|0.0|0.0|-126565.1522752747|-126564.29462844762
16.6|0.0|0.0|0.0|-126653.57231586243|-126652.95430564882
16.8|0.0|0.0|0.0|-126653.10234275942|-126650.98345059845
17.0|0.0|0.0|0.0|-126511.02858262612|-126510.87723318605
17.2|0.0|0.0|0.0|-126398.89921632608|-126398.65957971264
17.4|0.0|0.0|0.0|-126692.45406779625|-126692.02524438272
17.6|0.0|0.0|0.0|-126139.5000594455|-126139.0460111253
17.8|0.0|0.0|0.0|-126109.58349992658|-126107.93126853915
18.0|0.0|0.0|0.0|-126110.29572645198|-126109.55159170498
18.2|0.0|0.0|0.0|-126294.08611332373|-126293.87170161697
18.4|0.0|0.0|0.0|-126371.64223184816|-126370.80980992777
18.6|0.0|0.0|0.0|-126255.72774458454|-126255.27369626432
18.8|0.0|0.0|0.0|-126348.78725718423|-126348.1692469706
19.0|0.0|0.0|0.0|-126431.47634037667|-126431.06012941648
19.2|0.0|0.0|0.0|-126497.37640907406|-126496.72056150042
19.4|0.0|0.0|0.0|-126499.0622064646|-126497.33430035712
19.6|0.0|0.0|0.0|-126249.99829306173|-126247.82895108737
19.8|0.0|0.0|0.0|-126262.42422929163|-126258.8422925433
20.0|0.0|0.0|0.0|-126512.43910074639|-126511.9598275195
20.2|0.0|0.0|0.0|-126475.57128183295|-126473.95688780551
20.4|0.0|0.0|0.0|-126706.80459439024|-126704.9884011094
20.6|0.0|0.0|0.0|-126307.51257729187|-126305.79728363774
20.8|0.0|0.0|0.0|-126600.93471668182|-126600.61940534833
21.0|0.0|0.0|0.0|-126660.73818320359|-126659.50216277635
21.2|0.0|0.0|0.0|-126766.75846597299|-126765.90081914594
21.4|0.0|0.0|0.0|-126342.58904772197|-126341.16384049463
21.6|0.0|0.0|0.0|-126526.94047857684|-126524.45582526902
21.8|0.0|0.0|0.0|-126273.93185553125|-126273.78050609118
22.0|0.0|0.0|0.0|-126094.76373011208|-126093.12411117798
22.2|0.0|0.0|0.0|-126270.97803585541|-126270.37263809513
22.4|0.0|0.0|0.0|-126314.84941117294|-126312.81880618533
22.6|0.0|0.0|0.0|-126043.4924775798|-126041.4997099522
22.8|0.0|0.0|0.0|-126259.75864964929|-126258.00551863512
23.0|0.0|0.0|0.0|-126426.68147156684|-126425.44545113959
23.2|0.0|0.0|0.0|-126166.02028848909|-126164.67075598179
23.4|0.0|0.0|0.0|-126411.83717074947|-126409.52909178838
23.6|0.0|0.0|0.0|-126185.6706574707|-126184.3463498701
23.8|0.0|0.0|0.0|-126229.75925198421|-126227.85477153
24.0|0.0|0.0|0.0|-126329.80157064387|-126325.6899108553
