times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
18.4|1.0|0.0|0.0|-127203.0884195296|-127198.44703670076
18.6|1.0|0.0|0.0|-127176.80185981367|-127169.89023538378
18.8|1.0|0.0|0.0|-127305.10948314566|-127298.99244327613
19.0|1.0|0.0|0.0|-126980.8305005883|-126975.83596906597
19.2|1.0|0.0|0.0|-127216.51941613815|-127210.44021362865
19.4|1.0|0.0|0.0|-127325.84367404155|-127319.52483491861
19.6|1.0|0.0|0.0|-127050.4496677748|-127044.68577659878
19.8|1.0|0.0|0.0|-127054.08773379234|-127049.72382493697
20.0|1.0|0.0|0.0|-126843.4097339979|-126839.3863613827
20.2|1.0|0.0|0.0|-126941.78257270448|-126938.52855974296
20.4|1.0|0.0|0.0|-126808.39662537184|-126804.51198974336
20.6|1.0|0.0|0.0|-127098.24749168698|-127095.20789043223
20.8|1.0|0.0|0.0|-126667.56710677063|-126664.80497948934
21.0|1.0|0.0|0.0|-126528.1511996486|-126523.96386513996
21.2|1.0|0.0|0.0|-126603.64707781948|-126601.25071168503
21.4|1.0|0.0|0.0|-126830.63327543264|-126826.3450412973
21.6|1.0|0.0|0.0|-126900.90390620613|-126899.894909939
21.8|1.0|0.0|0.0|-126568.9132573916|-126566.34031691041
22.0|1.0|0.0|0.0|-126754.54334563813|-126750.9614088898
22.2|1.0|0.0|0.0|-126439.59999628064|-126437.15318033283
22.4|1.0|0.0|0.0|-126493.06555246608|-126490.00072630464
22.6|1.0|0.0|0.0|-126569.41782811788|-126566.35300195645
22.8|1.0|0.0|0.0|-126503.79523339396|-126501.73940349967
23.0|1.0|0.0|0.0|-126516.16938549269|-126512.95320989117
23.2|1.0|0.0|0.0|-126716.98041300217|-126712.50299206674
23.4|1.0|0.0|0.0|-126384.8341825829|-126380.89909714105
23.6|1.0|0.0|0.0|-126842.94427945073|-126840.71187520969
23.8|1.0|0.0|0.0|-126728.33629678415|-126726.54532840998
24.0|1.0|0.0|0.0|-126882.28419898394|-126880.03918228956
24.2|1.0|0.0|0.0|-126587.28963465514|-126584.84281870733
24.4|1.0|0.0|0.0|-126752.69939127572|-126750.30302514127
24.6|1.0|0.0|0.0|-126428.50457067539|-126423.63616368645
24.8|1.0|0.0|0.0|-126524.15741679996|-126518.3430758106
25.0|1.0|0.0|0.0|-126573.22319860602|-126571.25565588509
25.2|1.0|0.0|0.0|-126671.77758054144|-126669.11635288688
25.4|1.0|0.0|0.0|-126511.90547124209|-126510.3667519347
25.6|1.0|0.0|0.0|-126814.99533743669|-126812.01879844864
25.8|1.0|0.0|0.0|-126877.76106847738|-126875.69262612976
26.0|1.0|0.0|0.0|-126829.12456673413|-126827.96422102692
26.2|1.0|0.0|0.0|-126968.55494010645|-126965.22525242489
26.4|1.0|0.0|0.0|-126969.55132392024|-126966.91532117233
26.6|1.0|0.0|0.0|-126936.58192628068|-126935.77472926697
26.8|1.0|0.0|0.0|-126969.47162008658|-126968.43739891275
27.0|1.0|0.0|0.0|-126658.46512193096|-126655.69038219632
27.2|1.0|0.0|0.0|-126906.4245670414|-126904.29306242707
27.4|1.0|0.0|0.0|-126580.49555880211|-126577.64514434744
27.6|1.0|0.0|0.0|-126568.43805340982|-126566.52096050225
27.8|1.0|0.0|0.0|-126378.90862698144|-126377.29423295401
28.0|1.0|0.0|0.0|-126552.84697098251|-126549.76953236775
28.2|1.0|0.0|0.0|-126791.95714810799|-126789.04367138664
28.4|1.0|0.0|0.0|-126853.42454834665|-126852.02456602598
28.6|1.0|0.0|0.0|-126601.56646761592|-126599.58631244166
28.8|1.0|0.0|0.0|-126786.17494714198|-126783.51371948738
29.0|1.0|0.0|0.0|-126638.28131928637|-126637.10836112582
29.2|1.0|0.0|0.0|-126497.35585116477|-126494.27841255
29.4|1.0|0.0|0.0|-126709.2572075991|-126707.28966487819
29.6|1.0|0.0|0.0|-126745.10267163097|-126743.2486409901
29.8|1.0|0.0|0.0|-127128.20594180955|-127126.62938514214
30.0|1.0|0.0|0.0|-127159.48482609079|-127156.1173010492
30.2|1.0|0.0|0.0|-127145.06984346922|-127142.8752765882
30.4|1.0|0.0|0.0|-126842.66081139527|-126841.07164227452
30.6|1.0|0.0|0.0|-127095.02285663874|-127093.433687518
30.8|1.0|0.0|0.0|-126900.22529783286|-126898.04334340518
31.0|1.0|0.0|0.0|-126943.05718937282|-126939.85362622466
31.2|1.0|0.0|0.0|-126585.9295789434|-126583.48276299558
31.4|1.0|0.0|0.0|-126680.50530957116|-126678.4873170369
31.6|1.0|0.0|0.0|-126828.39228515013|-126827.0301401895
31.8|1.0|0.0|0.0|-126788.46247126162|-126786.82285232753
32.0|1.0|0.0|0.0|-126589.13546251784|-126587.34449414366
32.2|1.0|0.0|0.0|-126752.8650931023|-126750.5191767812
32.4|1.0|0.0|0.0|-126620.62351984066|-126618.27760351957
32.6|1.0|0.0|0.0|-126724.43256453403|-126722.37673463972
32.8|1.0|0.0|0.0|-126886.44253312351|-126883.5164439488
33.0|1.0|0.0|0.0|-126985.29291769012|-126982.49295304882
33.2|1.0|0.0|0.0|-127177.17626723807|-127174.25017806338
33.4|1.0|0.0|0.0|-127185.29365403125|-127183.78015963055
33.6|1.0|0.0|0.0|-127203.99717697864|-127202.49629503126
33.8|1.0|0.0|0.0|-127130.7440479845|-127129.2683909438
34.0|1.0|0.0|0.0|-127300.9126931395|-127298.47848964501
34.2|1.0|0.0|0.0|-127228.83233918218|-127227.83595536838
34.4|1.0|0.0|0.0|-127172.82768384242|-127171.71778794857
34.6|1.0|0.0|0.0|-127255.27346123921|-127254.01221590528
