times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.2, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.4, 0.0)|(1.0, 0.5, 0.0)|(1.0, 0.6, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.8, 0.0)|(1.0, 0.9, 0.0)|(1.0, 1.0, 0.0)|(1.0, 1.0, 0.05)|(1.0, 1.0, 0.1)|(1.0, 1.0, 0.15)|(1.0, 1.0, 0.2)|(1.0, 1.0, 0.25)|(1.0, 1.0, 0.3)|(1.0, 1.0, 0.35)|(1.0, 1.0, 0.4)|(1.0, 1.0, 0.45)|(1.0, 1.0, 0.5)|(1.0, 1.0, 0.55)|(1.0, 1.0, 0.6)|(1.0, 1.0, 0.65)|(1.0, 1.0, 0.7)|(1.0, 1.0, 0.75)|(1.0, 1.0, 0.8)|(1.0, 1.0, 0.85)|(1.0, 1.0, 0.9)|(1.0, 1.0, 0.95)|(1.0, 1.0, 1.0)
27.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
27.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
28.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
28.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
28.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
29.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
29.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
30.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
30.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
30.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
31.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
31.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
32.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
32.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
32.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
33.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
33.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
34.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
34.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
34.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
35.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
35.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
36.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
36.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
36.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
37.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
37.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
38.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
38.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
38.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
39.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
39.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
40.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
40.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
40.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
41.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
41.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
42.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
42.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
42.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
43.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
43.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
44.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
44.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
44.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
45.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
45.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
46.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
46.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
46.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
47.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
47.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
48.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
48.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
48.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
49.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
49.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
50.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
50.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
50.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
51.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
51.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
52.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
52.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
52.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
53.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
53.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
54.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
54.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
54.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
55.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
